user_id,variant,checkout_started,checkout_completed,revenue,platform,signup_days,device_type
u000000,control,1,1,49.65,android,49,mobile
u000001,control,1,1,56.56,android,24,mobile
u000002,control,1,0,0.0,ios,24,desktop
u000003,control,1,0,0.0,android,136,desktop
u000004,control,1,0,0.0,ios,531,desktop
u000005,control,1,0,0.0,web,40,desktop
u000006,control,1,0,0.0,web,152,tablet
u000007,control,1,0,0.0,ios,16,desktop
u000008,control,1,0,0.0,android,106,desktop
u000009,control,1,1,37.93,android,48,tablet
u000010,control,1,0,0.0,ios,415,desktop
u000011,control,1,0,0.0,android,90,desktop
u000012,control,1,0,0.0,web,405,tablet
u000013,control,1,0,0.0,web,31,desktop
u000014,control,1,0,0.0,web,128,tablet
u000015,control,1,0,0.0,android,87,mobile
u000016,control,1,0,0.0,ios,8,mobile
u000017,control,1,0,0.0,android,18,mobile
u000018,control,1,0,0.0,ios,69,mobile
u000019,control,1,0,0.0,android,46,mobile
u000020,control,1,1,21.19,web,42,mobile
u000021,control,1,0,0.0,ios,2,desktop
u000022,control,1,0,0.0,ios,179,mobile
u000023,control,1,0,0.0,web,45,mobile
u000024,control,1,0,0.0,web,262,mobile
u000025,control,1,0,0.0,ios,9,mobile
u000026,control,1,1,21.24,web,168,mobile
u000027,control,1,1,37.88,web,162,tablet
u000028,control,1,0,0.0,ios,2,tablet
u000029,control,1,1,51.08,android,227,mobile
u000030,control,1,0,0.0,android,173,desktop
u000031,control,1,1,44.65,android,68,mobile
u000032,control,1,0,0.0,android,151,mobile
u000033,control,1,1,64.19,android,5,desktop
u000034,control,1,0,0.0,ios,497,desktop
u000035,control,1,0,0.0,ios,133,mobile
u000036,control,1,0,0.0,web,241,desktop
u000037,control,1,0,0.0,ios,80,desktop
u000038,control,1,0,0.0,android,20,desktop
u000039,control,1,0,0.0,ios,41,mobile
u000040,control,1,0,0.0,ios,6,mobile
u000041,control,1,0,0.0,ios,208,desktop
u000042,control,1,0,0.0,ios,145,mobile
u000043,control,1,0,0.0,web,22,desktop
