user_id,variant,converted,revenue,platform,signup_days
u000000,control,1,6.5,web,185
u000001,control,0,0.0,web,69
u000002,control,0,0.0,web,112
u000003,control,1,71.61,android,7
u000004,control,1,8.31,ios,209
u000005,control,1,12.6,android,114
u000006,control,0,0.0,ios,765
u000007,control,1,48.84,android,345
u000008,control,1,8.9,android,137
u000009,control,1,17.64,android,179
u000010,control,1,60.36,ios,71
u000011,control,0,0.0,android,132
u000012,control,0,0.0,ios,61
u000013,control,1,67.07,android,346
u000014,control,1,50.24,web,14
u000015,control,0,0.0,web,25
u000016,control,1,23.95,android,15
u000017,control,0,0.0,ios,174
u000018,control,1,27.14,android,70
u000019,control,0,0.0,android,573
u000020,control,0,0.0,android,232
u000021,control,1,5.9,web,114
u000022,control,1,63.07,android,95
u000023,control,0,0.0,web,64
u000024,control,0,0.0,android,10
u000025,control,0,0.0,android,423
u000026,control,0,0.0,android,277
u000027,control,0,0.0,ios,43
u000028,control,1,12.25,android,210
u000029,control,0,0.0,ios,58
u000030,control,0,0.0,android,21
u000031,control,0,0.0,ios,400
u000032,control,0,0.0,android,131
u000033,control,0,0.0,ios,15
u000034,control,1,80.44,ios,1060
u000035,control,0,0.0,android,76
u000036,control,0,0.0,ios,213
u000037,control,0,0.0,ios,376
u000038,control,0,0.0,ios,478
u000039,control,1,15.48,android,116
u000040,control,0,0.0,web,167
u000041,control,0,0.0,ios,254
u000042,control,1,31.6,ios,350
u000043,control,1,21.86,ios,81
u000044,control,1,16.35,ios,29
u000045,control,0,0.0,web,295
u000046,control,0,0.0,ios,243
u000047,control,0,0.0,web,374
u000048,control,0,0.0,android,26
u000049,control,1,72.09,android,90
u000050,control,1,197.08,ios,55
u000051,control,0,0.0,web,160
u000052,control,1,11.27,web,475
u000053,control,0,0.0,ios,50
u000054,control,0,0.0,android,254
u000055,control,0,0.0,ios,193
u000056,control,0,0.0,android,444
u000057,control,1,18.84,android,211
u000058,control,0,0.0,ios,165
u000059,control,1,58.3,web,34
u000060,control,0,0.0,web,115
u000061,control,0,0.0,android,215
u000062,control,0,0.0,ios,517
u000063,control,0,0.0,web,29
u000064,control,1,20.44,web,168
u000065,control,0,0.0,ios,297
u000066,control,0,0.0,android,142
u000067,control,0,0.0,ios,307
u000068,control,1,19.5,web,40
u000069,control,0,0.0,web,24
u000070,control,0,0.0,android,168
u000071,control,1,47.99,web,27
u000072,control,1,7.1,ios,48
u000073,control,0,0.0,ios,149
u000074,control,0,0.0,ios,198
u000075,control,1,12.5,ios,29
u000076,control,0,0.0,ios,758
u000077,control,0,0.0,ios,172
u000078,control,0,0.0,ios,5
u000079,control,0,0.0,ios,583
u000080,control,1,104.48,web,438
u000081,control,1,28.67,android,13
u000082,control,0,0.0,ios,38
u000083,control,0,0.0,ios,149
u000084,control,0,0.0,ios,50
u000085,control,1,26.3,ios,84
u000086,control,1,30.08,android,87
u000087,control,1,37.49,ios,70
u000088,control,0,0.0,ios,385
u000089,control,1,226.52,ios,485
u000090,control,1,15.27,ios,25
u000091,control,0,0.0,web,159
u000092,control,0,0.0,android,4
u000093,control,0,0.0,android,188
u000094,control,1,24.84,web,91
u000095,control,0,0.0,android,248
u000096,control,0,0.0,android,38
