user_id,variant,converted,revenue,page_load_ms,platform
u000000,control,0,0.0,453.0,web
u000001,control,1,78.06,417.0,ios
u000002,control,0,0.0,554.0,android
u000003,control,0,0.0,418.0,web
u000004,control,1,21.08,832.0,web
u000005,control,0,0.0,660.0,ios
u000006,control,0,0.0,761.0,ios
u000007,control,0,0.0,564.0,android
u000008,control,1,83.27,1068.0,web
u000009,control,0,0.0,340.0,android
u000010,control,0,0.0,660.0,android
u000011,control,0,0.0,689.0,android
u000012,control,0,0.0,651.0,android
u000013,control,0,0.0,594.0,ios
u000014,control,0,0.0,816.0,android
u000015,control,1,13.4,668.0,android
u000016,control,0,0.0,383.0,ios
u000017,control,0,0.0,1115.0,web
u000018,control,0,0.0,690.0,web
u000019,control,0,0.0,407.0,web
u000020,control,0,0.0,431.0,ios
u000021,control,1,41.29,359.0,ios
u000022,control,0,0.0,729.0,android
u000023,control,1,24.26,1245.0,ios
u000024,control,0,0.0,585.0,android
u000025,control,1,9.4,605.0,ios
u000026,control,0,0.0,1412.0,web
u000027,control,0,0.0,714.0,ios
u000028,control,0,0.0,583.0,android
u000029,control,1,26.24,614.0,web
u000030,control,1,108.76,769.0,android
u000031,control,1,33.83,447.0,web
u000032,control,1,43.87,585.0,android
u000033,control,0,0.0,580.0,ios
u000034,control,1,16.05,546.0,ios
u000035,control,0,0.0,375.0,android
u000036,control,0,0.0,795.0,ios
u000037,control,0,0.0,929.0,android
u000038,control,0,0.0,615.0,web
u000039,control,0,0.0,543.0,android
u000040,control,0,0.0,687.0,ios
u000041,control,1,118.01,973.0,android
u000042,control,1,36.15,654.0,web
u000043,control,1,107.05,845.0,ios
u000044,control,0,0.0,566.0,android
u000045,control,1,26.4,467.0,web
u000046,control,0,0.0,597.0,web
u000047,control,1,42.56,873.0,ios
u000048,control,0,0.0,724.0,android
u000049,control,0,0.0,613.0,ios
u000050,control,1,82.2,688.0,android
u000051,control,0,0.0,471.0,ios
u000052,control,0,0.0,458.0,android
u000053,control,0,0.0,851.0,web
u000054,control,0,0.0,610.0,web
u000055,control,0,0.0,956.0,web
u000056,control,0,0.0,669.0,ios
u000057,control,0,0.0,760.0,android
u000058,control,0,0.0,631.0,android
