user_id,variant,sessions_14d,retained_30d,revenue_30d,platform
u000000,control,5,1,10.45,web
u000001,control,5,1,34.33,ios
u000002,control,6,1,26.18,ios
u000003,control,10,0,41.47,web
u000004,control,8,1,17.76,web
u000005,control,9,0,33.84,android
u000006,control,11,1,38.52,ios
u000007,control,10,0,105.96,web
u000008,control,5,1,25.81,web
u000009,control,12,1,58.92,web
u000010,control,12,1,100.37,ios
u000011,control,8,0,38.86,web
u000012,control,4,1,17.28,android
u000013,control,8,1,45.49,ios
u000014,control,6,1,22.5,ios
u000015,control,12,1,29.38,ios
u000016,control,11,0,48.19,android
u000017,control,9,1,157.29,web
u000018,control,3,1,14.41,android
u000019,control,14,1,79.74,web
u000020,control,6,1,57.65,web
u000021,control,5,0,61.83,ios
u000022,control,15,1,144.99,ios
u000023,control,7,0,28.61,web
u000024,control,11,1,64.98,ios
u000025,control,8,1,28.47,ios
u000026,control,9,1,56.45,android
u000027,control,14,1,75.42,android
u000028,control,3,1,16.43,web
u000029,control,4,1,19.16,web
u000030,control,6,0,17.18,web
u000031,control,8,1,34.73,ios
u000032,control,9,1,32.36,web
u000033,control,10,0,25.74,web
u000034,control,6,0,27.64,web
u000035,control,5,0,30.9,web
u000036,control,9,0,20.45,android
u000037,control,9,1,41.65,ios
u000038,control,9,0,36.52,ios
u000039,control,9,1,38.83,ios
u000040,control,3,1,17.26,web
u000041,control,3,1,10.81,ios
u000042,control,8,1,31.28,android
u000043,control,6,1,33.0,web
u000044,control,11,0,63.85,android
u000045,control,7,1,54.48,ios
u000046,control,8,1,31.46,web
u000047,control,6,0,25.58,web
u000048,control,5,1,26.9,android
u000049,control,8,1,40.73,ios
u000050,control,9,1,48.01,web
u000051,control,8,1,114.89,android
u000052,control,10,1,32.88,web
u000053,control,11,0,28.97,ios
u000054,control,11,0,21.39,web
u000055,control,11,1,60.95,web
u000056,control,14,1,42.45,ios
u000057,control,7,0,10.31,android
u000058,control,11,0,44.59,ios
u000059,control,12,0,32.29,android
u000060,control,6,1,25.02,ios
u000061,control,9,1,24.47,ios
u000062,control,7,1,23.07,android
u000063,control,7,0,23.28,android
u000064,control,2,0,6.13,android
u000065,control,6,1,21.73,ios
u000066,control,7,1,28.06,web
u000067,control,11,1,165.14,web
u000068,control,4,0,36.31,android
u000069,control,10,0,26.73,android
u000070,control,12,1,26.82,ios
u000071,control,9,1,38.85,android
u000072,control,11,1,30.12,ios
u000073,control,9,0,25.14,web
u000074,control,8,1,35.61,ios
u000075,control,7,0,28.06,web
u000076,control,8,1,37.53,web
u000077,control,8,1,51.79,android
u000078,control,6,1,39.92,ios
u000079,control,10,1,51.54,android
u000080,control,11,0,71.34,ios
u000081,control,6,0,25.31,web
u000082,control,10,1,45.34,ios
u000083,control,4,1,23.61,web
u000084,control,9,0,54.06,android
u000085,control,7,0,29.76,ios
u000086,control,12,0,88.32,web
u000087,control,9,1,30.97,android
u000088,control,7,1,29.94,ios
u000089,control,7,0,34.29,web
u000090,control,12,1,24.69,android
u000091,control,12,0,25.16,ios
u000092,control,8,1,25.28,ios
u000093,control,4,0,16.32,ios
u000094,control,8,1,28.09,ios
u000095,control,8,0,27.21,ios
u000096,control,5,1,28.39,web
u000097,control,2,0,5.5,android
u000098,control,5,1,10.97,ios
u000099,control,14,1,54.47,web
u000100,control,11,0,30.69,android
u000101,control,4,0,15.32,ios
u000102,control,5,0,17.0,web
u000103,control,6,0,44.77,ios
u000104,control,8,0,25.5,ios
u000105,control,6,1,17.27,web
u000106,control,3,1,20.34,ios
u000107,control,11,1,68.45,ios
u000108,control,10,1,47.41,android
u000109,control,4,1,24.0,android
u000110,control,9,0,65.08,web
u000111,control,14,1,25.71,ios
u000112,control,5,0,11.85,android
u000113,control,8,0,70.86,android
u000114,control,8,1,31.99,android
u000115,control,11,0,79.99,ios
u000116,control,7,1,34.48,web
u000117,control,6,1,8.19,android
u000118,control,7,0,30.21,web
u000119,control,8,1,54.29,web
u000120,control,8,0,144.17,web
u000121,control,7,1,20.65,ios
u000122,control,9,1,67.21,ios
u000123,control,13,1,138.21,web
u000124,control,8,1,31.46,web
u000125,control,5,0,17.42,web
u000126,control,7,1,80.59,android
u000127,control,13,1,67.12,web
u000128,control,8,1,57.91,android
u000129,control,8,0,26.83,android
u000130,control,5,1,17.85,android
u000131,control,7,1,19.51,android
u000132,control,10,1,61.85,ios
u000133,control,5,0,27.2,android
u000134,control,5,1,30.27,web
u000135,control,12,1,31.46,android
u000136,control,10,1,53.46,android
u000137,control,6,1,22.98,android
u000138,control,7,1,55.96,web
u000139,control,9,0,65.65,android
u000140,control,8,1,33.39,ios
u000141,control,5,1,27.54,ios
u000142,control,10,0,31.48,web
u000143,control,9,1,51.44,web
u000144,control,8,1,35.95,ios
u000145,control,8,0,55.62,web
u000146,control,7,1,24.08,android
u000147,control,8,0,21.69,android
u000148,control,6,0,14.26,ios
u000149,control,7,1,35.92,android
u000150,control,8,0,45.17,ios
u000151,control,2,0,5.09,web
u000152,control,6,1,14.1,android
u000153,control,8,1,17.06,android
u000154,control,11,0,62.09,web
u000155,control,9,1,30.18,web
u000156,control,6,1,21.34,web
u000157,control,9,1,36.54,android
u000158,control,3,0,9.3,web
u000159,control,6,1,25.95,web
u000160,control,11,1,22.51,android
u000161,control,10,1,84.71,android
u000162,control,6,1,12.36,android
u000163,control,10,0,45.13,web
u000164,control,7,1,9.43,web
u000165,control,9,1,28.44,ios
u000166,control,15,1,128.86,android
u000167,control,5,1,25.48,android
u000168,control,15,0,51.77,web
u000169,control,6,0,72.55,web
u000170,control,9,0,29.23,ios
u000171,control,4,1,17.9,ios
u000172,control,4,1,15.08,web
u000173,control,6,0,22.14,web
u000174,control,7,1,47.74,ios
u000175,control,9,1,71.94,ios
u000176,control,4,0,8.15,ios
u000177,control,10,1,44.57,web
u000178,control,10,0,66.78,ios
u000179,control,8,1,59.27,web
u000180,control,7,0,26.76,web
u000181,control,10,1,124.82,android
u000182,control,6,1,23.97,android
u000183,control,6,0,23.08,ios
u000184,control,6,1,27.94,web
u000185,control,10,0,43.68,ios
u000186,control,10,0,73.14,android
u000187,control,11,0,59.45,web
u000188,control,6,0,48.94,android
u000189,control,9,0,29.52,ios
u000190,control,7,1,52.58,ios
u000191,control,9,0,20.71,ios
u000192,control,9,1,46.2,android
u000193,control,7,1,31.13,android
u000194,control,7,1,26.29,web
u000195,control,11,1,33.46,ios
u000196,control,5,0,32.1,ios
u000197,control,9,1,53.54,web
u000198,control,12,0,83.83,android
u000199,control,12,0,46.8,android
u000200,control,7,1,44.39,android
u000201,control,8,0,32.21,ios
u000202,control,12,1,45.16,android
u000203,control,4,1,16.72,web
u000204,control,13,1,39.83,web
u000205,control,10,1,56.68,web
u000206,control,5,0,14.87,android
u000207,control,8,1,34.06,web
u000208,control,7,1,40.64,web
u000209,control,5,1,13.38,android
u000210,control,9,0,37.32,android
u000211,control,8,0,45.19,ios
u000212,control,10,0,19.03,android
u000213,control,8,1,37.65,android
u000214,control,5,1,15.76,android
u000215,control,11,0,52.4,web
u000216,control,8,1,49.15,ios
u000217,control,6,1,22.7,web
u000218,control,8,0,63.99,ios
u000219,control,5,1,20.49,android
u000220,control,8,1,44.16,web
u000221,control,8,0,33.68,ios
u000222,control,3,1,7.01,android
u000223,control,7,1,27.94,ios
u000224,control,6,0,19.13,web
u000225,control,11,0,48.69,web
u000226,control,8,1,29.1,android
u000227,control,5,1,21.48,web
u000228,control,6,0,36.99,android
u000229,control,7,1,21.8,android
u000230,control,5,0,7.77,android
u000231,control,11,1,51.84,web
u000232,control,8,1,28.67,ios
u000233,control,6,1,32.05,ios
u000234,control,7,1,16.15,web
u000235,control,5,0,19.84,web
u000236,control,8,0,39.65,android
u000237,control,6,1,30.5,ios
u000238,control,9,0,11.0,android
u000239,control,14,0,34.41,android
u000240,control,9,1,22.37,web
u000241,control,11,1,90.61,android
u000242,control,9,1,86.1,android
u000243,control,7,0,36.11,ios
u000244,control,13,1,81.71,web
u000245,control,5,0,16.69,ios
u000246,control,4,0,23.28,ios
u000247,control,10,1,27.13,ios
u000248,control,5,0,15.82,android
u000249,control,6,0,17.58,web
u000250,control,11,0,31.54,android
u000251,control,6,0,46.29,web
u000252,control,9,1,57.05,android
u000253,control,5,1,19.26,ios
u000254,control,6,1,27.99,android
u000255,control,4,0,22.89,android
u000256,control,11,0,45.45,web
u000257,control,14,0,17.34,android
u000258,control,11,1,98.66,web
u000259,control,6,0,39.74,android
u000260,control,6,1,21.32,android
u000261,control,8,1,17.29,android
u000262,control,9,1,28.23,web
u000263,control,7,0,44.83,android
u000264,control,12,0,31.59,ios
u000265,control,7,1,27.25,ios
u000266,control,11,1,40.42,android
u000267,control,9,1,26.79,ios
u000268,control,6,1,93.99,web
u000269,control,7,0,75.97,web
u000270,control,8,0,38.29,android
u000271,control,5,1,14.67,ios
u000272,control,9,0,38.48,web
u000273,control,8,1,25.89,android
u000274,control,8,0,44.8,web
u000275,control,10,0,56.42,ios
u000276,control,6,0,27.45,web
u000277,control,8,1,56.91,ios
u000278,control,8,1,38.89,ios
u000279,control,7,1,37.62,web
u000280,control,6,0,49.17,web
u000281,control,8,1,56.77,web
u000282,control,11,0,34.98,android
u000283,control,8,0,46.06,android
u000284,control,7,1,80.7,web
u000285,control,9,1,14.6,web
u000286,control,8,0,37.93,android
u000287,control,4,1,45.6,ios
u000288,control,8,1,36.28,web
u000289,control,8,1,66.67,android
u000290,control,2,0,9.52,web
u000291,control,11,1,87.1,web
u000292,control,6,1,20.78,ios
u000293,control,8,0,24.54,web
u000294,control,7,0,47.34,ios
u000295,control,7,1,20.56,android
u000296,control,12,1,104.09,web
u000297,control,7,1,58.34,ios
u000298,control,13,1,31.62,ios
u000299,control,5,0,23.72,android
u000300,control,3,0,10.24,ios
u000301,control,8,0,34.58,ios
u000302,control,3,1,12.29,ios
u000303,control,8,1,44.06,android
u000304,control,14,1,46.66,web
u000305,control,7,0,28.72,ios
u000306,control,8,1,21.33,android
u000307,control,7,1,24.23,web
u000308,control,8,1,18.94,ios
u000309,control,8,1,30.5,android
u000310,control,5,0,21.5,android
u000311,control,5,0,12.14,android
u000312,control,7,1,22.02,ios
u000313,control,8,1,47.01,web
u000314,control,11,1,26.57,android
u000315,control,6,0,28.36,ios
u000316,control,6,0,17.42,android
u000317,control,9,1,125.72,ios
u000318,control,7,1,37.89,ios
u000319,control,7,1,25.45,android
u000320,control,13,0,34.3,web
u000321,control,10,0,30.51,ios
u000322,control,8,1,22.19,android
u000323,control,5,1,24.02,android
u000324,control,8,1,30.77,web
u000325,control,10,1,82.64,ios
u000326,control,6,1,24.96,web
u000327,control,5,1,42.27,ios
u000328,control,6,0,36.85,android
u000329,control,8,1,112.31,android
u000330,control,9,1,51.1,android
u000331,control,8,1,26.12,web
u000332,control,12,0,67.56,ios
u000333,control,8,0,34.23,android
u000334,control,4,1,9.52,ios
u000335,control,10,1,81.44,ios
u000336,control,7,1,14.68,android
u000337,control,6,1,34.23,web
u000338,control,11,0,78.75,android
u000339,control,7,1,67.41,web
u000340,control,3,1,19.31,web
u000341,control,7,1,68.83,web
u000342,control,10,1,29.78,android
u000343,control,9,1,12.69,web
