user_id,variant,converted,revenue,platform
u000000,control,0,0.0,web
u000001,control,0,0.0,web
u000002,control,0,0.0,android
u000003,control,0,0.0,android
u000004,control,1,63.48,android
u000005,control,0,0.0,android
u000006,control,0,0.0,web
u000007,control,0,0.0,web
u000008,control,0,0.0,web
u000009,control,0,0.0,ios
u000010,control,0,0.0,ios
u000011,control,0,0.0,android
u000012,control,1,11.12,android
u000013,control,1,34.7,android
u000014,control,0,0.0,android
u000015,control,1,33.79,ios
u000016,control,0,0.0,android
u000017,control,0,0.0,android
u000018,control,1,47.76,web
u000019,control,0,0.0,android
u000020,control,0,0.0,ios
u000021,control,1,8.23,android
u000022,control,0,0.0,android
u000023,control,0,0.0,android
u000024,control,0,0.0,android
u000025,control,1,14.47,web
u000026,control,0,0.0,ios
u000027,control,1,22.3,ios
u000028,control,0,0.0,ios
u000029,control,0,0.0,web
u000030,control,1,219.14,android
u000031,control,1,32.46,android
u000032,control,1,9.68,android
u000033,control,0,0.0,web
u000034,control,0,0.0,web
u000035,control,0,0.0,web
u000036,control,1,26.55,ios
u000037,control,0,0.0,ios
u000038,control,1,72.53,android
u000039,control,0,0.0,ios
u000040,control,0,0.0,android
u000041,control,0,0.0,web
u000042,control,0,0.0,android
u000043,control,0,0.0,ios
u000044,control,1,10.66,web
u000045,control,1,41.3,ios
u000046,control,0,0.0,ios
u000047,control,0,0.0,ios
u000048,control,0,0.0,web
u000049,control,0,0.0,android
u000050,control,1,46.59,android
u000051,control,0,0.0,web
u000052,control,0,0.0,ios
u000053,control,0,0.0,web
u000054,control,1,50.26,web
u000055,control,1,103.06,ios
u000056,control,0,0.0,ios
u000057,control,0,0.0,web
u000058,control,1,24.38,web
u000059,control,0,0.0,web
u000060,control,0,0.0,web
u000061,control,1,27.92,android
u000062,control,1,61.65,ios
u000063,control,0,0.0,web
u000064,control,1,20.58,android
u000065,control,0,0.0,ios
u000066,control,0,0.0,ios
u000067,control,1,45.56,web
u000068,control,0,0.0,web
u000069,control,1,15.5,web
u000070,control,0,0.0,android
u000071,control,0,0.0,android
u000072,control,0,0.0,web
u000073,control,0,0.0,android
u000074,control,0,0.0,android
u000075,control,0,0.0,web
u000076,control,1,14.46,web
u000077,control,1,4.75,web
u000078,control,0,0.0,ios
u000079,control,0,0.0,web
u000080,control,0,0.0,ios
u000081,control,0,0.0,ios
u000082,control,0,0.0,ios
u000083,control,1,29.22,android
u000084,control,0,0.0,web
u000085,control,0,0.0,web
u000086,control,0,0.0,android
u000087,control,0,0.0,web
u000088,control,0,0.0,web
u000089,control,0,0.0,web
u000090,control,0,0.0,web
u000091,control,0,0.0,web
u000092,control,0,0.0,ios
u000093,control,0,0.0,android
u000094,control,0,0.0,android
u000095,control,0,0.0,ios
u000096,control,0,0.0,android
u000097,control,0,0.0,web
u000098,control,0,0.0,ios
u000099,control,1,81.38,ios
u000100,control,1,19.97,web
u000101,control,0,0.0,android
u000102,control,0,0.0,android
u000103,control,1,42.99,ios
u000104,control,0,0.0,web
u000105,control,0,0.0,android
u000106,control,0,0.0,ios
u000107,control,0,0.0,android
u000108,control,1,32.56,web
u000109,control,0,0.0,web
u000110,control,1,11.06,ios
u000111,control,1,48.31,ios
u000112,control,0,0.0,web
u000113,control,1,34.66,ios
u000114,control,1,34.71,android
u000115,control,0,0.0,android
u000116,control,1,49.7,android
u000117,control,0,0.0,web
u000118,control,0,0.0,web
u000119,control,1,12.67,ios
u000120,control,0,0.0,android
u000121,control,1,40.15,web
u000122,control,0,0.0,android
u000123,control,0,0.0,android
u000124,control,0,0.0,ios
u000125,control,1,11.57,ios
u000126,control,0,0.0,android
u000127,control,0,0.0,web
u000128,control,0,0.0,android
u000129,control,0,0.0,ios
u000130,control,0,0.0,web
u000131,control,1,19.99,ios
u000132,control,0,0.0,web
u000133,control,0,0.0,ios
u000134,control,1,212.76,web
u000135,control,1,13.98,web
u000136,control,1,40.12,android
u000137,control,1,145.05,ios
u000138,control,0,0.0,android
u000139,control,0,0.0,ios
u000140,control,0,0.0,android
u000141,control,0,0.0,web
u000142,control,0,0.0,ios
u000143,control,1,52.71,web
u000144,control,0,0.0,web
