user_id,variant,converted,revenue,page_load_ms,platform
u000000,control,0,0.0,2443.2,android
u000001,control,0,0.0,1705.3,ios
u000002,control,0,0.0,1158.6,web
u000003,control,0,0.0,2157.3,web
u000004,control,0,0.0,2064.6,web
u000005,control,0,0.0,1789.7,android
u000006,control,0,0.0,1446.2,web
u000007,control,0,0.0,2304.3,ios
u000008,control,0,0.0,1398.1,web
u000009,control,0,0.0,1944.3,android
u000010,control,0,0.0,1716.4,ios
u000011,control,0,0.0,1834.7,android
u000012,control,0,0.0,1417.2,ios
u000013,control,0,0.0,1829.9,web
u000014,control,0,0.0,2097.6,web
u000015,control,0,0.0,2232.5,ios
u000016,control,1,100.61,1497.2,android
u000017,control,0,0.0,1570.3,web
u000018,control,1,70.61,1322.5,ios
u000019,control,0,0.0,1451.2,web
u000020,control,1,5.33,1943.8,android
u000021,control,1,21.91,2048.6,android
u000022,control,1,20.4,1625.6,web
u000023,control,0,0.0,2310.1,web
u000024,control,0,0.0,971.1,ios
u000025,control,0,0.0,1964.3,android
u000026,control,0,0.0,1355.1,ios
u000027,control,1,25.56,2072.0,android
u000028,control,0,0.0,1755.9,android
u000029,control,0,0.0,2033.4,ios
u000030,control,0,0.0,1801.4,ios
u000031,control,1,17.01,2146.9,web
u000032,control,0,0.0,1388.0,ios
u000033,control,0,0.0,1082.2,web
u000034,control,0,0.0,1922.1,android
u000035,control,1,50.17,1823.6,web
u000036,control,0,0.0,1983.3,web
u000037,control,0,0.0,2398.1,android
u000038,control,1,23.84,1707.1,web
u000039,control,0,0.0,2302.9,ios
u000040,control,0,0.0,2263.7,web
u000041,control,0,0.0,1679.1,web
u000042,control,0,0.0,814.5,web
u000043,control,0,0.0,1988.1,web
u000044,control,0,0.0,1677.5,web
u000045,control,0,0.0,2336.5,web
u000046,control,0,0.0,2050.2,android
u000047,control,0,0.0,1693.7,web
u000048,control,0,0.0,2188.3,android
u000049,control,0,0.0,1891.6,web
u000050,control,0,0.0,1838.3,web
u000051,control,0,0.0,1674.9,ios
u000052,control,0,0.0,1188.9,ios
u000053,control,0,0.0,1810.8,android
u000054,control,0,0.0,1657.2,web
u000055,control,1,57.28,2075.4,android
u000056,control,0,0.0,1851.4,web
u000057,control,0,0.0,1876.5,web
u000058,control,0,0.0,2186.9,android
u000059,control,0,0.0,2154.1,ios
u000060,control,0,0.0,1361.6,web
u000061,control,0,0.0,1664.2,web
u000062,control,0,0.0,2054.3,android
u000063,control,0,0.0,1847.1,android
u000064,control,0,0.0,2025.1,ios
u000065,control,0,0.0,1748.2,ios
u000066,control,0,0.0,2400.2,web
u000067,control,0,0.0,1998.5,web
u000068,control,0,0.0,2146.9,web
u000069,control,0,0.0,1646.1,ios
u000070,control,0,0.0,1746.8,android
u000071,control,1,61.6,2319.7,web
u000072,control,0,0.0,1139.1,ios
u000073,control,0,0.0,1803.4,web
u000074,control,0,0.0,1579.1,web
u000075,control,0,0.0,2143.6,web
u000076,control,0,0.0,1745.7,web
u000077,control,0,0.0,1918.8,android
u000078,control,0,0.0,1886.9,web
u000079,control,0,0.0,2234.3,web
u000080,control,1,45.85,1651.0,web
u000081,control,0,0.0,1630.8,android
u000082,control,0,0.0,1960.7,web
u000083,control,0,0.0,1367.4,ios
u000084,control,0,0.0,2216.3,android
u000085,control,0,0.0,2255.9,android
u000086,control,0,0.0,1974.8,ios
u000087,control,0,0.0,1679.9,ios
u000088,control,0,0.0,1848.6,web
u000089,control,0,0.0,1342.3,ios
u000090,control,0,0.0,1336.0,web
u000091,control,0,0.0,2021.4,ios
u000092,control,1,65.65,1366.1,web
u000093,control,0,0.0,2176.5,ios
u000094,control,1,28.33,1548.3,ios
u000095,control,0,0.0,2078.4,android
u000096,control,1,51.8,1623.4,ios
u000097,control,0,0.0,2192.5,web
u000098,control,0,0.0,1031.5,web
u000099,control,1,36.09,1136.1,ios
u000100,control,0,0.0,1296.9,ios
u000101,control,0,0.0,1586.3,ios
u000102,control,0,0.0,1670.5,android
u000103,control,0,0.0,1608.0,ios
u000104,control,0,0.0,1773.5,web
u000105,control,0,0.0,1738.0,ios
u000106,control,0,0.0,2087.9,web
u000107,control,0,0.0,2262.0,web
u000108,control,0,0.0,1183.6,android
u000109,control,0,0.0,2381.0,web
u000110,control,0,0.0,1257.4,web
u000111,control,1,11.34,1359.3,ios
u000112,control,0,0.0,2050.2,android
u000113,control,0,0.0,1419.6,android
u000114,control,1,14.55,2030.8,web
u000115,control,0,0.0,1871.4,ios
u000116,control,1,29.76,1727.4,ios
u000117,control,0,0.0,1967.0,android
u000118,control,0,0.0,2094.8,web
u000119,control,0,0.0,2586.3,web
u000120,control,0,0.0,2068.6,web
u000121,control,1,33.84,1513.6,web
u000122,control,1,51.04,1523.8,android
u000123,control,0,0.0,1849.4,ios
u000124,control,0,0.0,2291.3,ios
u000125,control,0,0.0,1358.7,web
u000126,control,0,0.0,2717.0,android
u000127,control,0,0.0,1896.2,web
u000128,control,0,0.0,1997.1,ios
u000129,control,0,0.0,1982.4,ios
u000130,control,0,0.0,1388.7,android
u000131,control,0,0.0,2493.4,web
u000132,control,0,0.0,1617.2,web
u000133,control,0,0.0,1704.8,android
u000134,control,0,0.0,1457.9,web
u000135,control,0,0.0,2122.4,ios
u000136,control,0,0.0,1956.4,android
u000137,control,0,0.0,2149.3,web
u000138,control,0,0.0,1878.4,ios
u000139,control,0,0.0,2443.9,ios
u000140,control,0,0.0,1612.5,android
u000141,control,0,0.0,1570.0,android
u000142,control,1,22.34,1225.0,ios
u000143,control,0,0.0,1235.1,web
u000144,control,0,0.0,2279.5,web
u000145,control,0,0.0,1868.4,ios
u000146,control,1,63.94,2025.0,ios
u000147,control,0,0.0,1746.1,android
u000148,control,0,0.0,2061.4,android
u000149,control,0,0.0,1820.7,ios
u000150,control,0,0.0,1745.5,android
u000151,control,1,12.87,2048.6,web
u000152,control,0,0.0,1108.3,android
u000153,control,1,50.72,1548.1,ios
u000154,control,1,46.89,2030.7,ios
u000155,control,0,0.0,2166.6,ios
u000156,control,0,0.0,2235.5,web
u000157,control,0,0.0,1471.5,ios
u000158,control,0,0.0,2023.3,web
u000159,control,0,0.0,1349.5,web
u000160,control,0,0.0,1948.8,ios
u000161,control,1,54.39,1924.9,web
u000162,control,0,0.0,2094.5,ios
u000163,control,0,0.0,1529.8,web
u000164,control,0,0.0,2176.1,web
u000165,control,0,0.0,1881.0,ios
u000166,control,1,110.0,1761.4,web
u000167,control,0,0.0,1826.8,web
u000168,control,0,0.0,2070.9,web
u000169,control,1,4.23,1471.6,web
u000170,control,0,0.0,1678.5,android
u000171,control,0,0.0,1083.3,ios
u000172,control,1,24.85,1929.8,android
u000173,control,0,0.0,2184.8,web
u000174,control,0,0.0,2160.0,android
u000175,control,0,0.0,1705.4,android
u000176,control,0,0.0,953.7,web
u000177,control,0,0.0,1725.2,web
u000178,control,0,0.0,1883.6,android
u000179,control,0,0.0,1662.9,web
u000180,control,0,0.0,1683.8,web
u000181,control,0,0.0,1755.1,ios
u000182,control,1,64.75,2010.6,web
u000183,control,0,0.0,1905.1,web
u000184,control,0,0.0,1796.7,web
u000185,control,0,0.0,900.4,android
u000186,control,0,0.0,1460.6,web
u000187,control,0,0.0,1681.0,web
u000188,control,0,0.0,2224.9,web
u000189,control,0,0.0,1843.8,web
u000190,control,0,0.0,2005.5,web
u000191,control,0,0.0,1859.9,web
u000192,control,0,0.0,1196.3,web
u000193,control,0,0.0,1752.7,web
u000194,control,0,0.0,2207.2,web
u000195,control,0,0.0,1553.2,web
u000196,control,0,0.0,1474.2,android
u000197,control,0,0.0,1738.3,web
u000198,control,0,0.0,1476.5,android
u000199,control,0,0.0,1724.2,android
u000200,control,0,0.0,1644.1,web
u000201,control,0,0.0,1603.1,web
u000202,control,0,0.0,2144.7,web
u000203,control,1,31.59,1276.8,web
u000204,control,0,0.0,2119.1,web
u000205,control,0,0.0,1904.7,ios
u000206,control,0,0.0,2309.4,ios
u000207,control,0,0.0,1194.8,ios
u000208,control,0,0.0,1574.0,ios
u000209,control,0,0.0,1707.0,web
u000210,control,0,0.0,1848.8,ios
u000211,control,0,0.0,1751.4,web
u000212,control,0,0.0,1393.7,web
u000213,control,0,0.0,2031.3,ios
u000214,control,0,0.0,1922.8,web
u000215,control,0,0.0,1854.0,ios
u000216,control,0,0.0,677.2,web
u000217,control,0,0.0,1691.0,android
u000218,control,0,0.0,1192.4,ios
u000219,control,0,0.0,2046.6,ios
u000220,control,0,0.0,1536.7,android
u000221,control,0,0.0,1678.9,ios
u000222,control,0,0.0,1508.4,web
u000223,control,0,0.0,2725.2,ios
u000224,control,0,0.0,1417.3,ios
u000225,control,0,0.0,2469.3,android
u000226,control,0,0.0,1435.0,web
u000227,control,0,0.0,2117.6,ios
u000228,control,0,0.0,2097.5,ios
u000229,control,0,0.0,2228.8,android
u000230,control,0,0.0,1993.5,web
u000231,control,1,29.64,1323.3,web
u000232,control,0,0.0,1972.1,ios
u000233,control,0,0.0,2129.0,web
u000234,control,0,0.0,1882.9,web
u000235,control,0,0.0,1872.8,web
u000236,control,0,0.0,2225.0,web
u000237,control,0,0.0,1090.3,ios
u000238,control,0,0.0,1804.1,web
u000239,control,0,0.0,1633.2,web
u000240,control,0,0.0,1910.6,ios
u000241,control,0,0.0,2086.6,web
u000242,control,0,0.0,1999.4,ios
u000243,control,0,0.0,2316.7,web
u000244,control,0,0.0,2588.9,ios
u000245,control,0,0.0,1744.6,web
u000246,control,1,28.92,1699.8,web
u000247,control,0,0.0,1746.1,ios
u000248,control,0,0.0,1873.5,web
u000249,control,1,53.46,1946.5,web
u000250,control,1,64.14,2076.4,web
u000251,control,0,0.0,1085.9,ios
u000252,control,0,0.0,2047.1,web
u000253,control,0,0.0,1594.9,android
u000254,control,0,0.0,1939.1,android
u000255,control,0,0.0,1878.0,android
u000256,control,0,0.0,1878.8,ios
u000257,control,0,0.0,1282.8,android
u000258,control,0,0.0,2150.6,ios
u000259,control,0,0.0,1625.5,web
u000260,control,1,17.61,1538.8,web
u000261,control,0,0.0,1278.9,web
u000262,control,0,0.0,1548.8,ios
u000263,control,0,0.0,1550.4,ios
u000264,control,0,0.0,1759.4,web
u000265,control,0,0.0,1988.4,android
u000266,control,0,0.0,1477.3,android
u000267,control,1,73.35,2370.4,web
u000268,control,1,7.75,1327.3,ios
u000269,control,0,0.0,2303.7,web
u000270,control,0,0.0,1897.2,ios
u000271,control,0,0.0,2198.9,web
u000272,control,0,0.0,1590.9,web
u000273,control,0,0.0,1937.1,android
u000274,control,0,0.0,1367.5,ios
u000275,control,1,16.37,1466.3,ios
u000276,control,0,0.0,1770.8,ios
u000277,control,0,0.0,2076.1,web
u000278,control,0,0.0,1777.0,ios
u000279,control,0,0.0,2580.9,android
u000280,control,0,0.0,2151.5,android
u000281,control,0,0.0,2085.6,web
u000282,control,0,0.0,1583.2,web
u000283,control,1,12.03,1850.5,android
u000284,control,1,15.85,2371.1,android
u000285,control,0,0.0,2320.3,web
u000286,control,0,0.0,1572.2,android
u000287,control,0,0.0,1502.9,ios
u000288,control,0,0.0,1576.4,web
u000289,control,0,0.0,2081.3,web
u000290,control,0,0.0,1604.0,ios
u000291,control,0,0.0,1002.8,web
u000292,control,0,0.0,1920.1,ios
u000293,control,0,0.0,1583.2,ios
u000294,control,0,0.0,1542.7,android
u000295,control,0,0.0,1541.9,web
u000296,control,0,0.0,1601.7,web
u000297,control,0,0.0,1657.8,web
u000298,control,0,0.0,1584.1,android
u000299,control,0,0.0,1607.8,ios
u000300,control,0,0.0,1073.8,web
u000301,control,0,0.0,1448.0,web
u000302,control,0,0.0,2182.7,android
u000303,control,0,0.0,1672.1,ios
u000304,control,0,0.0,1762.6,web
u000305,control,0,0.0,1452.5,ios
u000306,control,0,0.0,1765.6,web
u000307,control,0,0.0,2333.2,web
u000308,control,0,0.0,2119.5,web
u000309,control,0,0.0,1990.4,web
u000310,control,0,0.0,2171.2,ios
u000311,control,0,0.0,1430.3,web
u000312,control,0,0.0,1133.0,web
u000313,control,1,74.43,2101.3,web
u000314,control,1,82.14,1540.8,web
u000315,control,0,0.0,1967.6,web
u000316,control,0,0.0,1723.4,web
u000317,control,0,0.0,1543.5,web
u000318,control,0,0.0,2061.8,web
u000319,control,0,0.0,1750.9,web
u000320,control,0,0.0,1293.6,web
u000321,control,0,0.0,920.8,web
u000322,control,0,0.0,2072.4,android
u000323,control,0,0.0,1572.6,web
u000324,control,0,0.0,1625.1,web
u000325,control,0,0.0,1648.2,ios
u000326,control,0,0.0,2616.7,ios
u000327,control,0,0.0,1968.5,web
u000328,control,0,0.0,1549.9,web
u000329,control,0,0.0,1469.3,web
u000330,control,0,0.0,1025.5,web
u000331,control,0,0.0,1444.4,web
u000332,control,0,0.0,2188.9,web
u000333,control,0,0.0,2081.4,web
u000334,control,0,0.0,1849.6,web
u000335,control,0,0.0,2046.5,web
u000336,control,0,0.0,1707.4,ios
u000337,control,0,0.0,1875.8,android
u000338,control,0,0.0,1665.3,web
u000339,control,0,0.0,1964.1,ios
u000340,control,1,13.47,1560.0,web
u000341,control,0,0.0,1809.7,web
u000342,control,0,0.0,2393.6,web
u000343,control,0,0.0,1824.8,android
u000344,control,0,0.0,1251.9,ios
u000345,control,0,0.0,2226.0,web
u000346,control,0,0.0,2353.3,web
u000347,control,0,0.0,1855.1,web
u000348,control,0,0.0,1616.1,web
u000349,control,0,0.0,2270.4,web
u000350,control,0,0.0,1793.9,ios
u000351,control,0,0.0,1450.3,web
u000352,control,0,0.0,1998.3,web
u000353,control,1,44.35,1616.5,web
