user_id,variant,converted,revenue,platform
u000000,control,0,0.0,android
u000001,control,1,13.95,android
u000002,control,1,65.96,android
u000003,control,0,0.0,web
u000004,control,1,179.53,ios
u000005,control,0,0.0,ios
u000006,control,1,20.43,android
u000007,control,1,22.44,web
u000008,control,0,0.0,android
u000009,control,1,24.28,android
u000010,control,0,0.0,ios
u000011,control,0,0.0,android
u000012,control,1,57.35,android
u000013,control,0,0.0,ios
u000014,control,0,0.0,ios
u000015,control,0,0.0,android
u000016,control,1,110.92,web
u000017,control,0,0.0,ios
u000018,control,0,0.0,android
u000019,control,0,0.0,web
u000020,control,0,0.0,web
u000021,control,1,50.26,android
u000022,control,0,0.0,web
u000023,control,0,0.0,ios
u000024,control,0,0.0,web
u000025,control,1,12.65,android
u000026,control,0,0.0,web
u000027,control,0,0.0,android
u000028,control,0,0.0,web
u000029,control,1,19.28,web
u000030,control,1,10.31,android
u000031,control,0,0.0,web
u000032,control,1,133.87,android
u000033,control,0,0.0,ios
u000034,control,0,0.0,ios
u000035,control,1,76.37,ios
u000036,control,0,0.0,android
u000037,control,0,0.0,web
u000038,control,0,0.0,ios
u000039,control,1,47.98,web
u000040,control,0,0.0,ios
u000041,control,0,0.0,web
u000042,control,0,0.0,web
u000043,control,0,0.0,android
u000044,control,1,9.12,ios
u000045,control,1,13.93,ios
u000046,control,0,0.0,web
u000047,control,0,0.0,web
u000048,control,1,14.36,android
u000049,control,0,0.0,android
u000050,control,0,0.0,android
u000051,control,1,5.58,ios
u000052,control,1,10.13,android
u000053,control,0,0.0,android
u000054,control,0,0.0,android
u000055,control,0,0.0,android
u000056,control,0,0.0,android
u000057,control,0,0.0,ios
u000058,control,0,0.0,ios
u000059,control,0,0.0,android
u000060,control,0,0.0,ios
u000061,control,1,22.78,android
u000062,control,0,0.0,ios
u000063,control,0,0.0,android
u000064,control,0,0.0,web
u000065,control,1,11.29,ios
u000066,control,1,69.73,web
u000067,control,0,0.0,android
u000068,control,0,0.0,android
u000069,control,1,32.3,android
u000070,control,0,0.0,ios
u000071,control,1,19.63,web
u000072,control,0,0.0,ios
u000073,control,0,0.0,web
u000074,control,0,0.0,web
u000075,control,1,27.34,ios
u000076,control,0,0.0,web
u000077,control,0,0.0,android
u000078,control,1,32.27,ios
u000079,control,0,0.0,android
u000080,control,0,0.0,web
u000081,control,0,0.0,ios
u000082,control,0,0.0,ios
u000083,control,0,0.0,ios
u000084,control,0,0.0,web
u000085,control,0,0.0,web
u000086,control,1,33.63,web
u000087,control,1,16.94,ios
u000088,control,0,0.0,android
u000089,control,0,0.0,web
u000090,control,0,0.0,web
u000091,control,0,0.0,ios
u000092,control,1,35.52,android
u000093,control,1,30.28,ios
u000094,control,0,0.0,web
u000095,control,1,13.64,web
u000096,control,1,7.19,android
u000097,control,0,0.0,ios
u000098,control,0,0.0,web
u000099,control,0,0.0,web
u000100,control,0,0.0,android
u000101,control,0,0.0,ios
u000102,control,1,20.77,android
u000103,control,1,64.86,android
u000104,control,0,0.0,web
u000105,control,0,0.0,web
u000106,control,0,0.0,android
u000107,control,0,0.0,ios
u000108,control,0,0.0,ios
u000109,control,1,19.39,android
u000110,control,0,0.0,ios
u000111,control,1,30.57,ios
u000112,control,1,43.85,android
u000113,control,0,0.0,android
u000114,control,0,0.0,web
u000115,control,0,0.0,web
u000116,control,0,0.0,web
u000117,control,0,0.0,ios
u000118,control,0,0.0,web
u000119,control,1,58.44,android
u000120,control,0,0.0,android
u000121,control,1,64.55,android
u000122,control,0,0.0,ios
u000123,control,0,0.0,ios
u000124,control,0,0.0,web
u000125,control,1,19.36,ios
u000126,control,1,94.95,android
u000127,control,1,13.94,android
u000128,control,0,0.0,ios
u000129,control,0,0.0,web
u000130,control,0,0.0,web
u000131,control,0,0.0,web
u000132,control,0,0.0,web
u000133,control,0,0.0,android
u000134,control,0,0.0,web
u000135,control,1,47.31,android
u000136,control,1,30.67,android
u000137,control,0,0.0,web
u000138,control,1,19.09,android
u000139,control,0,0.0,web
u000140,control,1,31.05,web
u000141,control,0,0.0,android
u000142,control,1,33.74,android
u000143,control,0,0.0,ios
u000144,control,1,135.48,ios
u000145,control,1,67.5,android
u000146,control,1,47.32,web
u000147,control,0,0.0,web
u000148,control,0,0.0,ios
u000149,control,0,0.0,ios
u000150,control,0,0.0,ios
u000151,control,0,0.0,web
u000152,control,0,0.0,android
u000153,control,1,17.99,android
u000154,control,0,0.0,ios
u000155,control,0,0.0,web
u000156,control,0,0.0,android
u000157,control,0,0.0,ios
u000158,control,1,31.66,android
u000159,control,1,202.18,web
u000160,control,0,0.0,android
u000161,control,1,20.27,ios
u000162,control,1,36.6,web
u000163,control,0,0.0,web
u000164,control,0,0.0,web
u000165,control,0,0.0,android
u000166,control,1,22.72,ios
u000167,control,0,0.0,web
u000168,control,1,44.8,web
u000169,control,0,0.0,ios
u000170,control,1,26.13,web
u000171,control,0,0.0,ios
u000172,control,0,0.0,web
u000173,control,0,0.0,ios
u000174,control,0,0.0,android
u000175,control,1,10.48,android
u000176,control,1,10.06,ios
u000177,control,0,0.0,android
u000178,control,1,53.98,ios
u000179,control,0,0.0,ios
u000180,control,0,0.0,android
u000181,control,1,69.39,android
u000182,control,0,0.0,android
u000183,control,0,0.0,android
u000184,control,0,0.0,web
u000185,control,1,17.08,web
u000186,control,0,0.0,ios
u000187,control,0,0.0,android
u000188,control,1,16.85,web
u000189,control,1,39.87,web
u000190,control,1,33.49,android
u000191,control,0,0.0,android
u000192,control,0,0.0,android
u000193,control,0,0.0,web
u000194,control,0,0.0,ios
u000195,control,1,9.54,web
u000196,control,0,0.0,android
u000197,control,0,0.0,android
u000198,control,1,24.3,ios
u000199,control,0,0.0,web
u000200,control,0,0.0,ios
u000201,control,0,0.0,web
u000202,control,0,0.0,web
u000203,control,0,0.0,ios
u000204,control,1,106.72,web
u000205,control,0,0.0,web
u000206,control,1,23.3,android
u000207,control,1,56.84,android
u000208,control,1,25.29,ios
u000209,control,1,49.05,android
u000210,control,0,0.0,android
u000211,control,0,0.0,android
u000212,control,0,0.0,ios
u000213,control,0,0.0,android
u000214,control,1,17.94,web
u000215,control,1,29.59,web
